compound_name,polarity,mz_group,quality,notes
L-Asparagine,pos,70.02871,maybe,
L-Asparagine,pos,133.07592,,
L-Asparagine,pos,43.01762,,
L-Asparagine,pos,46.02879,maybe,
L-Asparagine,neg,41.99857,yes,
L-Asparagine,neg,70.0299,yes,
L-Asparagine,neg,114.01978,yes,
L-Asparagine,neg,113.03576,yes,
L-Asparagine,neg,58.02986,maybe,
L-Asparagine,neg,95.02519,yes,
L-Asparagine,neg,96.00926,maybe,
L-Asparagine,neg,88.04057,,
L-Asparagine,neg,71.02516,maybe,
L-Asparagine,neg,72.00918,maybe,
L-Asparagine,neg,131.04638,,
L-Asparagine,neg,131.05406,,
L-Asparagine,neg,71.01391,,
L-Asparagine,neg,45.17402,,
L-Ornithine,pos,70.06507,yes,
L-Ornithine,pos,116.07061,yes,
L-Ornithine,pos,77.03848,,
L-Ornithine,pos,59.06031,,
L-Ornithine,pos,42.03385,,
L-Ornithine,pos,74.0963,,
L-Ornithine,pos,71.06844,maybe,
L-Ornithine,pos,72.08077,,
L-Ornithine,pos,58.06502,,
L-Ornithine,pos,115.08656,maybe,
L-Ornithine,pos,55.05417,,
L-Ornithine,pos,46.06507,,
L-Ornithine,pos,88.02155,maybe,
L-Ornithine,pos,44.04966,,
L-Ornithine,pos,75.36116,,
L-Ornithine,pos,43.05417,maybe,
L-Ornithine,pos,97.07592,maybe,
L-Aspartic acid,pos,74.02362,yes,
L-Aspartic acid,pos,43.01785,yes,
L-Aspartic acid,pos,46.0287,,
L-Aspartic acid,pos,70.02872,maybe,
L-Aspartic acid,pos,88.03928,maybe,
L-Aspartic acid,pos,44.04942,,
L-Aspartic acid,pos,134.09651,,
L-Aspartic acid,pos,77.0385,,
L-Aspartic acid,pos,72.08084,,
L-Aspartic acid,pos,118.08623,,
L-Aspartic acid,pos,134.07157,,
L-Aspartic acid,neg,88.04046,yes,
L-Aspartic acid,neg,71.01394,maybe,
L-Aspartic acid,neg,115.00384,yes,
L-Aspartic acid,neg,132.03054,yes,
L-Aspartic acid,neg,132.02987,maybe,
L-Aspartic acid,neg,114.02001,maybe,
L-Aspartic acid,neg,72.00913,maybe,
L-Aspartic acid,neg,59.01388,,
L-Aspartic acid,neg,41.9986,,
L-Aspartic acid,neg,76.97024,,
L-Aspartic acid,neg,89.02448,,
L-Aspartic acid,neg,41.00332,,
Adenine,pos,136.06171,yes,
Adenine,pos,119.03516,yes,
Adenine,pos,114.06605,,
Adenine,pos,44.04943,,
Adenine,pos,85.02842,,
Adenine,pos,137.06489,yes,
Adenine,pos,137.05891,,
Adenine,pos,94.03991,yes,
Adenine,pos,60.08067,,
Adenine,pos,92.02424,,
Adenine,pos,58.06514,,
Adenine,pos,146.34816,,
Adenine,pos,65.01335,,
Adenine,pos,137.04556,,
Adenine,neg,134.04726,yes,
Adenine,neg,107.03635,yes,
Adenine,neg,92.02549,yes,
Adenine,neg,134.89482,,
Adenine,neg,76.96996,,
Adenine,neg,68.02548,,
Adenine,neg,135.05055,maybe,
Adenine,neg,65.01452,maybe,
Adenine,neg,90.92406,,
Adenine,neg,80.02541,,
Threonic acid,neg,75.00882,yes,
Threonic acid,neg,59.01388,yes,
Threonic acid,neg,135.03006,maybe,
Threonic acid,neg,56.99825,maybe,
Threonic acid,neg,89.02449,maybe,
Threonic acid,neg,117.01943,,
Threonic acid,neg,76.97009,,
Threonic acid,neg,72.99316,,
Threonic acid,neg,44.99818,,
Threonic acid,neg,71.01388,maybe,
Threonic acid,neg,109.94213,,
Threonic acid,neg,41.00326,,
Threonic acid,neg,47.01387,,
Allopurinol,pos,137.04579,yes,
Allopurinol,pos,110.03486,maybe,
Allopurinol,pos,137.06491,,
Allopurinol,pos,94.03996,maybe,
Allopurinol,pos,136.06171,,
Allopurinol,pos,54.03379,,
Allopurinol,pos,136.99428,,
Allopurinol,pos,81.04467,,
Allopurinol,pos,138.04912,,
Allopurinol,pos,120.01921,,
Allopurinol,pos,120.0385,,
Allopurinol,pos,109.03974,,
Allopurinol,neg,92.02547,yes,
Allopurinol,neg,135.0313,yes,
Allopurinol,neg,109.9421,,
Allopurinol,neg,107.02518,maybe,
Allopurinol,neg,64.01928,maybe,
Allopurinol,neg,41.99855,,
Allopurinol,neg,134.89488,,
Allopurinol,neg,135.94531,,
Allopurinol,neg,65.01457,yes,
Allopurinol,neg,79.03015,maybe,
Allopurinol,neg,90.92402,,
Hypoxanthine,pos,137.04573,yes,
Hypoxanthine,pos,110.03486,yes,
Hypoxanthine,pos,119.03516,yes,
Hypoxanthine,pos,58.06511,,
Hypoxanthine,pos,94.03996,yes,
Hypoxanthine,pos,59.07293,,
Hypoxanthine,pos,138.04877,maybe,
Hypoxanthine,pos,55.02899,,
Hypoxanthine,pos,138.04999,,
Hypoxanthine,pos,82.03992,,
Hypoxanthine,pos,120.01976,,
Hypoxanthine,pos,126.06608,,
Hypoxanthine,pos,147.40604,maybe,
Hypoxanthine,neg,92.02548,yes,
Hypoxanthine,neg,135.03133,yes,
Hypoxanthine,neg,109.94213,,
Hypoxanthine,neg,65.01455,maybe,
Hypoxanthine,neg,134.89482,,
Hypoxanthine,neg,133.01569,,
Hypoxanthine,neg,41.99856,,
Hypoxanthine,neg,107.03641,,
Hypoxanthine,neg,106.02847,,
Hypoxanthine,neg,135.94526,,
Hypoxanthine,neg,66.00983,maybe,
Hypoxanthine,neg,64.00682,,
Hypoxanthine,neg,136.03458,,
Hypoxanthine,neg,90.92456,,
Hypoxanthine,neg,93.02898,,
Dimethylsulfoniopropionate,pos,73.02835,yes,
Dimethylsulfoniopropionate,pos,63.02624,yes,
Dimethylsulfoniopropionate,pos,135.04734,yes,
Dimethylsulfoniopropionate,pos,45.03345,yes,
Dimethylsulfoniopropionate,pos,43.01782,yes,
Dimethylsulfoniopropionate,pos,48.00275,yes,
Dimethylsulfoniopropionate,pos,46.99494,yes,
Dimethylsulfoniopropionate,pos,61.01058,yes,
Dimethylsulfoniopropionate,pos,55.01775,yes,
Dimethylsulfoniopropionate,pos,44.99706,yes,
Dimethylsulfoniopropionate,pos,44.9793,maybe,
Dimethylsulfoniopropionate,pos,74.03169,maybe,
Dimethylsulfoniopropionate,pos,64.02938,maybe,
Dimethylsulfoniopropionate,pos,67.79114,maybe,
Dimethylsulfoniopropionate,pos,78.54898,maybe,
Salicylic acid,neg,93.03458,yes,
Salicylic acid,neg,137.02445,yes,
Salicylic acid,neg,65.03971,maybe,
Salicylic acid,neg,94.038,,
Salicylic acid,neg,111.93748,,
Salicylic acid,neg,136.89207,,
Urocanic acid,pos,121.03957,yes,
Urocanic acid,pos,139.05015,yes,
Urocanic acid,pos,93.04466,yes,
Urocanic acid,pos,95.06037,yes,
Urocanic acid,pos,137.04558,,
Urocanic acid,pos,139.05795,,
Urocanic acid,pos,179.00462,,
Urocanic acid,pos,118.08608,,
Urocanic acid,pos,68.04942,yes,
Urocanic acid,pos,97.03954,maybe,
Urocanic acid,pos,66.03375,maybe,
Urocanic acid,pos,122.04287,maybe,
Urocanic acid,pos,140.05364,maybe,
Urocanic acid,pos,138.05513,,
Urocanic acid,pos,58.06502,,
Urocanic acid,neg,93.04591,yes,
Urocanic acid,neg,66.03497,yes,
Urocanic acid,neg,40.01936,maybe,
Urocanic acid,neg,137.03584,maybe,
Urocanic acid,neg,65.01485,,
Urocanic acid,neg,111.93763,,
Urocanic acid,neg,76.97015,,
Urocanic acid,neg,94.04929,,
Urocanic acid,neg,52.01924,,
Urocanic acid,neg,65.01434,,
Urocanic acid,neg,67.03022,,
3-Aminopropanesulfonate,pos,123.01106,yes,
3-Aminopropanesulfonate,pos,41.03857,yes,
3-Aminopropanesulfonate,pos,59.04914,yes,
3-Aminopropanesulfonate,pos,140.03757,maybe,
3-Aminopropanesulfonate,pos,58.06508,maybe,
3-Aminopropanesulfonate,pos,77.03851,,
3-Aminopropanesulfonate,pos,42.03388,,
3-Aminopropanesulfonate,pos,56.04937,,
3-Aminopropanesulfonate,pos,51.02287,,
3-Aminopropanesulfonate,pos,50.01513,,
3-Aminopropanesulfonate,pos,57.9348,,
3-Aminopropanesulfonate,pos,122.02716,,
3-Aminopropanesulfonate,neg,79.95741,yes,
3-Aminopropanesulfonate,neg,138.02313,yes,
3-Aminopropanesulfonate,neg,80.96529,maybe,
3-Aminopropanesulfonate,neg,111.93772,,
3-Aminopropanesulfonate,neg,64.97026,maybe,
3-Aminopropanesulfonate,neg,137.94061,,
Homarine,pos,138.05493,yes,
Homarine,pos,78.03377,yes,
Homarine,pos,94.06509,yes,
Homarine,pos,106.02872,yes,
Homarine,pos,96.04437,yes,
Homarine,pos,139.05832,yes,
Homarine,pos,124.0393,yes,
Homarine,pos,51.02286,yes,
Homarine,pos,53.03855,maybe,
Homarine,pos,148.49208,maybe,
Homarine,pos,93.0574,maybe,
Homarine,pos,67.05422,maybe,
Homarine,pos,95.06855,maybe,
Homarine,pos,79.03708,yes,
Homarine,pos,136.06162,,
Homarine,pos,42.03376,,
Homarine,pos,148.49048,maybe,
Homarine,pos,92.04946,,
Trigonelline,pos,138.05489,yes,
Trigonelline,pos,121.0396,,
Trigonelline,pos,139.05037,,
Trigonelline,pos,93.04473,,
Trigonelline,pos,95.06035,,
Trigonelline,pos,94.06509,yes,
Trigonelline,pos,92.04944,yes,
Trigonelline,pos,139.05802,maybe,
Trigonelline,pos,66.03384,,
Trigonelline,pos,78.03378,maybe,
Trigonelline,pos,110.05995,maybe,
Trigonelline,pos,120.04429,maybe,
Trigonelline,pos,68.04951,,
Trigonelline,pos,97.03984,,
Sulfoacetic acid,neg,94.98093,yes,
Sulfoacetic acid,neg,79.95743,yes,
Sulfoacetic acid,neg,138.97088,maybe,
Sulfoacetic acid,neg,64.97031,maybe,
N-Methyltaurine,pos,44.04945,yes,
N-Methyltaurine,pos,58.0651,yes,
N-Methyltaurine,pos,140.03759,yes,
N-Methyltaurine,pos,96.99542,maybe,
N-Methyltaurine,pos,43.04166,,
N-Methyltaurine,pos,56.04944,,
N-Methyltaurine,pos,122.02732,,
N-Methyltaurine,pos,122.02654,,
N-Methyltaurine,pos,78.98479,,
N-Methyltaurine,pos,47.37981,,
N-Methyltaurine,pos,42.03416,,
N-Methyltaurine,pos,112.05046,,
N-Methyltaurine,pos,42.03368,,
N-Methyltaurine,pos,62.45446,,
N-Methyltaurine,pos,77.03884,,
N-Methyltaurine,neg,79.95741,yes,
N-Methyltaurine,neg,138.02312,yes,
N-Methyltaurine,neg,64.97051,,
N-Methyltaurine,neg,106.98099,maybe,
N-Methyltaurine,neg,111.93756,,
N-Methyltaurine,neg,94.98093,maybe,
N-Methyltaurine,neg,64.97013,,
N-Methyltaurine,neg,80.96517,,
Toxopyrimidine,pos,81.04466,yes,
Toxopyrimidine,pos,140.08175,yes,
Toxopyrimidine,pos,122.07121,yes,
Toxopyrimidine,pos,54.03378,yes,
Toxopyrimidine,pos,82.04795,maybe,
Toxopyrimidine,pos,42.03377,,
Toxopyrimidine,pos,87.17164,,
Toxopyrimidine,pos,70.06501,,
Toxopyrimidine,pos,58.06497,,
Toxopyrimidine,pos,52.0181,maybe,
Toxopyrimidine,pos,141.08509,,
Toxopyrimidine,pos,74.09641,,
Toxopyrimidine,pos,123.0756,,
Toxopyrimidine,neg,108.05676,maybe,
Toxopyrimidine,neg,111.93753,,
Toxopyrimidine,neg,137.94084,,
Toxopyrimidine,neg,67.03018,,
Toxopyrimidine,neg,136.05171,,
Toxopyrimidine,neg,40.01936,,
Toxopyrimidine,neg,138.0672,,
Toxopyrimidine,neg,138.02006,,
Toxopyrimidine,neg,79.9575,,
Toxopyrimidine,neg,115.92082,,
2-mercaptoethanesulfonic acid,neg,80.96522,yes,
2-mercaptoethanesulfonic acid,neg,140.96871,yes,
2-mercaptoethanesulfonic acid,neg,79.95745,maybe,
2-mercaptoethanesulfonic acid,neg,87.08613,,
2-mercaptoethanesulfonic acid,neg,63.96276,,
Ectoine,pos,97.07598,yes,
Ectoine,pos,143.08146,yes,
Ectoine,pos,68.04942,yes,
Ectoine,pos,56.04943,yes,
Ectoine,pos,101.07091,yes,
Ectoine,pos,44.04942,yes,
Ectoine,pos,73.07599,yes,
Ectoine,pos,42.03379,yes,
Ectoine,pos,98.07937,yes,
Ectoine,pos,144.08467,yes,
Ectoine,pos,84.0445,yes,
Ectoine,pos,102.05483,maybe,
Ectoine,pos,153.89868,maybe,
Ectoine,pos,104.41445,maybe,
Ectoine,pos,104.41591,,
Ectoine,pos,58.06508,,
Ectoine,pos,125.07095,,
Ectoine,neg,141.06708,yes,
Ectoine,neg,63.96259,,
Butyrylglycine,pos,43.05422,,
Butyrylglycine,pos,76.03929,,
Butyrylglycine,pos,41.03855,,
Butyrylglycine,pos,71.04914,,
Butyrylglycine,pos,64.92719,,
Butyrylglycine,pos,150.07744,,
Butyrylglycine,pos,133.9599,,
Butyrylglycine,pos,105.95375,,
Butyrylglycine,pos,123.96437,,
Butyrylglycine,pos,72.04441,,
Butyrylglycine,pos,146.09659,,
Butyrylglycine,pos,129.04474,,
Butyrylglycine,neg,74.02477,,
Butyrylglycine,neg,100.07683,,
Butyrylglycine,neg,144.06673,,
Butyrylglycine,neg,84.04551,,
Butyrylglycine,neg,72.0455,,
Butyrylglycine,neg,82.06622,,
Butyrylglycine,neg,99.92596,,
Butyrylglycine,neg,98.06113,,
Butyrylglycine,neg,56.01411,,
Proline betaine,pos,144.10184,yes,
Proline betaine,pos,58.0651,yes,
Proline betaine,pos,127.07265,,
Proline betaine,pos,84.08076,yes,
Proline betaine,pos,85.05083,,
Proline betaine,pos,145.10529,maybe,
Proline betaine,pos,102.05502,maybe,
Proline betaine,pos,154.99506,,
Proline betaine,pos,154.99688,,
Proline betaine,pos,44.04943,maybe,
Proline betaine,pos,55.05416,,
Proline betaine,pos,43.01776,,
Proline betaine,pos,43.02899,,
Proline betaine,pos,71.04906,,
Proline betaine,neg,142.08756,,
Proline betaine,neg,115.93479,,
Proline betaine,neg,97.93154,,
Proline betaine,neg,141.93821,,
Proline betaine,neg,41.99859,,
Proline betaine,neg,63.96249,,
2-Ketoglutaric acid,neg,57.03467,yes,
2-Ketoglutaric acid,neg,101.02451,maybe,
2-Ketoglutaric acid,neg,100.92603,,
2-Ketoglutaric acid,neg,73.02955,,
2-Ketoglutaric acid,neg,55.01897,,
2-Ketoglutaric acid,neg,146.02505,,
2-Ketoglutaric acid,neg,56.99588,,
Hydroxyisoleucine,pos,160.09676,maybe,
Hydroxyisoleucine,pos,58.06509,yes,
Hydroxyisoleucine,pos,74.02362,yes,
Hydroxyisoleucine,pos,62.01842,,
Hydroxyisoleucine,pos,88.07566,,
Hydroxyisoleucine,pos,121.03151,,
Hydroxyisoleucine,pos,84.08075,maybe,
Hydroxyisoleucine,pos,61.01061,,
Hydroxyisoleucine,pos,149.02613,,
Hydroxyisoleucine,pos,42.03392,maybe,
Hydroxyisoleucine,pos,57.06983,maybe,
Hydroxyisoleucine,pos,113.05973,,
Hydroxyisoleucine,pos,41.03853,,
Hydroxyisoleucine,pos,70.06507,,
Hydroxyisoleucine,pos,57.07047,,
Hydroxyisoleucine,pos,67.05417,maybe,
Hydroxyisoleucine,pos,42.03359,,
Hydroxyisoleucine,pos,41.03912,,
Hydroxyisoleucine,neg,43.01895,yes,
Hydroxyisoleucine,neg,128.07189,yes,
Hydroxyisoleucine,neg,43.0193,,
Hydroxyisoleucine,neg,146.0824,yes,
Hydroxyisoleucine,neg,71.05032,yes,
Hydroxyisoleucine,neg,57.03464,yes,
Hydroxyisoleucine,neg,76.97018,,
Hydroxyisoleucine,neg,41.00335,yes,
Hydroxyisoleucine,neg,146.02493,,
Hydroxyisoleucine,neg,83.0503,,
Hydroxyisoleucine,neg,146.08393,,
Hydroxyisoleucine,neg,56.05065,maybe,
Hydroxyisoleucine,neg,72.00914,yes,
Hydroxyisoleucine,neg,72.01007,,
Hydroxyisoleucine,neg,84.0455,maybe,
Hydroxyisoleucine,neg,61.98841,,
Hydroxyisoleucine,neg,45.99348,,
Hydroxyisoleucine,neg,41.99869,,
(3-Carboxypropyl)trimethylammonium,pos,87.04401,yes,
(3-Carboxypropyl)trimethylammonium,pos,60.08074,yes,
(3-Carboxypropyl)trimethylammonium,pos,146.11752,yes,
(3-Carboxypropyl)trimethylammonium,pos,43.01781,yes,
(3-Carboxypropyl)trimethylammonium,pos,45.03344,yes,
(3-Carboxypropyl)trimethylammonium,pos,44.04946,yes,
(3-Carboxypropyl)trimethylammonium,pos,147.1209,,
(3-Carboxypropyl)trimethylammonium,pos,45.05727,maybe,
(3-Carboxypropyl)trimethylammonium,pos,58.06505,,
(3-Carboxypropyl)trimethylammonium,pos,88.04748,maybe,
(3-Carboxypropyl)trimethylammonium,pos,61.08404,,
(3-Carboxypropyl)trimethylammonium,pos,41.03854,,
(3-Carboxypropyl)trimethylammonium,pos,42.0337,,
(3-Carboxypropyl)trimethylammonium,pos,69.03345,maybe,
(3-Carboxypropyl)trimethylammonium,neg,99.9259,,
(3-Carboxypropyl)trimethylammonium,neg,144.10316,,
(3-Carboxypropyl)trimethylammonium,neg,100.92608,,
Acetylcholine,pos,87.044,yes,
Acetylcholine,pos,43.0178,yes,
Acetylcholine,pos,60.08075,yes,
Acetylcholine,pos,146.1175,maybe,
Acetylcholine,pos,44.04945,maybe,
Acetylcholine,pos,58.06502,maybe,
Acetylcholine,pos,88.04734,,
Acetylcholine,pos,42.03367,maybe,
Acetylcholine,pos,46.06509,,
Acetylcholine,pos,118.08621,,
Acetylcholine,pos,55.05418,,
Acetylcholine,pos,46.26958,,
Acetylcholine,pos,74.0963,,
Acetylcholine,pos,93.62397,,
Acetylcholine,pos,70.0653,,
Acetylcholine,pos,72.0807,,
Acetylcholine,pos,86.09664,,
2-keto-4-methylthiobutyric acid,neg,55.01898,,
2-keto-4-methylthiobutyric acid,neg,46.9961,yes,
2-keto-4-methylthiobutyric acid,neg,61.98837,,
2-keto-4-methylthiobutyric acid,neg,99.0089,maybe,
2-keto-4-methylthiobutyric acid,neg,45.99342,,
2-keto-4-methylthiobutyric acid,neg,103.02205,,
L-Glutamine,pos,84.04436,yes,
L-Glutamine,pos,56.04944,yes,
L-Glutamine,pos,130.04991,yes,
L-Glutamine,pos,41.03859,yes,
L-Glutamine,pos,44.04944,,
L-Glutamine,pos,58.06503,,
L-Glutamine,pos,85.02852,yes,
L-Glutamine,pos,102.05492,maybe,
L-Glutamine,pos,44.01308,maybe,
L-Glutamine,pos,101.07086,,
L-Glutamine,pos,64.92719,,
L-Glutamine,neg,41.99858,yes,
L-Glutamine,neg,127.05138,yes,
L-Glutamine,neg,109.04085,yes,
L-Glutamine,neg,145.06198,maybe,
L-Glutamine,neg,74.02482,yes,
L-Glutamine,neg,76.97008,,
L-Glutamine,neg,128.03542,maybe,
L-Glutamine,neg,84.04554,yes,
L-Glutamine,neg,58.02985,yes,
L-Glutamine,neg,86.02481,maybe,
L-Glutamine,neg,67.03022,maybe,
L-Glutamine,neg,99.05653,,
L-Glutamine,neg,101.07222,,
L-Glutamine,neg,82.02984,maybe,
L-Lysine,pos,84.08074,yes,
L-Lysine,pos,130.08631,maybe,
L-Lysine,pos,42.03379,,
L-Lysine,pos,74.09641,,
L-Lysine,pos,56.04946,maybe,
L-Lysine,pos,77.03863,,
L-Lysine,pos,118.08616,,
L-Lysine,pos,58.06504,,
L-Lysine,pos,72.08062,,
L-Lysine,pos,46.06531,,
L-Lysine,pos,55.05443,maybe,
L-Lysine,pos,40.96126,,
L-Lysine,pos,91.05417,maybe,
L-Lysine,pos,147.11684,,
L-Lysine,neg,100.92601,,
L-Lysine,neg,145.0984,yes,
L-Lysine,neg,146.02489,,
L-Lysine,neg,99.92593,,
L-Lysine,neg,41.99854,,
L-Lysine,neg,101.92438,,
L-Lysine,neg,61.98848,,
L-Lysine,neg,41.99897,,
L-Lysine,neg,44.9982,,
L-Lysine,neg,56.9959,,
L-Lysine,neg,60.99315,,
beta-Glutamic acid,pos,88.03927,yes,
beta-Glutamic acid,pos,70.02872,yes,
beta-Glutamic acid,pos,43.01781,yes,
beta-Glutamic acid,pos,84.04439,,
beta-Glutamic acid,pos,46.02875,yes,
beta-Glutamic acid,pos,56.04945,,
beta-Glutamic acid,pos,58.06506,,
beta-Glutamic acid,pos,44.04943,,
beta-Glutamic acid,neg,85.02959,yes,
beta-Glutamic acid,neg,59.01387,maybe,
beta-Glutamic acid,neg,102.05624,yes,
beta-Glutamic acid,neg,61.98841,,
beta-Glutamic acid,neg,146.02518,,
beta-Glutamic acid,neg,146.02455,,
beta-Glutamic acid,neg,124.01024,,
beta-Glutamic acid,neg,146.04605,,
beta-Glutamic acid,neg,41.9986,,
beta-Glutamic acid,neg,45.99345,,
beta-Glutamic acid,neg,128.03545,,
beta-Glutamic acid,neg,57.03466,,
L-Glutamic acid,pos,84.04437,yes,
L-Glutamic acid,pos,56.04947,yes,
L-Glutamic acid,pos,102.05494,maybe,
L-Glutamic acid,pos,41.03859,yes,
L-Glutamic acid,pos,85.02844,maybe,
L-Glutamic acid,pos,130.04989,maybe,
L-Glutamic acid,pos,58.06508,,
L-Glutamic acid,pos,42.03376,,
L-Glutamic acid,pos,149.02342,,
L-Glutamic acid,pos,93.03375,,
L-Glutamic acid,pos,148.11221,,
L-Glutamic acid,pos,85.04775,,
L-Glutamic acid,neg,102.05613,yes,
L-Glutamic acid,neg,128.03545,yes,
L-Glutamic acid,neg,146.04626,maybe,
L-Glutamic acid,neg,61.98839,,
L-Glutamic acid,neg,76.97021,,
L-Glutamic acid,neg,146.0253,,
L-Glutamic acid,neg,146.02452,,
L-Glutamic acid,neg,56.0506,,
L-Glutamic acid,neg,85.02978,,
L-Glutamic acid,neg,41.99859,,
O-Acetyl-L-serine,pos,60.04435,yes,
O-Acetyl-L-serine,pos,42.03382,yes,
O-Acetyl-L-serine,pos,43.01785,yes,
O-Acetyl-L-serine,pos,88.03931,yes,
O-Acetyl-L-serine,pos,70.02874,yes,
O-Acetyl-L-serine,pos,58.06516,,
O-Acetyl-L-serine,pos,149.02331,,
O-Acetyl-L-serine,pos,56.04945,,
O-Acetyl-L-serine,pos,106.04987,,
O-Acetyl-L-serine,pos,56.04997,maybe,
O-Acetyl-L-serine,pos,121.02852,maybe,
O-Acetyl-L-serine,pos,88.04041,,
O-Acetyl-L-serine,pos,148.11202,,
O-Acetyl-L-serine,pos,84.04438,maybe,
O-Acetyl-L-serine,pos,65.03856,,
O-Acetyl-L-serine,pos,121.03895,,
O-Acetyl-L-serine,pos,91.0541,,
O-Acetyl-L-serine,neg,74.02479,yes,
O-Acetyl-L-serine,neg,84.04557,yes,
O-Acetyl-L-serine,neg,41.00334,maybe,
O-Acetyl-L-serine,neg,98.02487,yes,
O-Acetyl-L-serine,neg,57.03465,maybe,
O-Acetyl-L-serine,neg,41.99882,maybe,
O-Acetyl-L-serine,neg,41.99851,maybe,
O-Acetyl-L-serine,neg,72.04558,yes,
O-Acetyl-L-serine,neg,116.03544,yes,
O-Acetyl-L-serine,neg,57.03542,,
O-Acetyl-L-serine,neg,41.00381,,
O-Acetyl-L-serine,neg,104.03549,maybe,
O-Acetyl-L-serine,neg,101.02437,,
O-Acetyl-L-serine,neg,60.99314,,
O-Acetyl-L-serine,neg,146.02491,maybe,
O-Acetyl-L-serine,neg,61.9884,,
2-Hydroxy-4-(methylthio)butyric acid,neg,46.99611,yes,
2-Hydroxy-4-(methylthio)butyric acid,neg,43.01894,yes,
2-Hydroxy-4-(methylthio)butyric acid,neg,57.03458,maybe,
2-Hydroxy-4-(methylthio)butyric acid,neg,149.02787,yes,
2-Hydroxy-4-(methylthio)butyric acid,neg,101.02455,maybe,
2-Hydroxy-4-(methylthio)butyric acid,neg,41.00329,,
Guanine,pos,152.05663,yes,
Guanine,pos,135.0301,yes,
Guanine,pos,110.03484,yes,
Guanine,pos,109.05091,maybe,
Guanine,pos,153.04072,maybe,
Guanine,pos,112.05047,,
Guanine,pos,43.02925,,
Guanine,pos,134.04613,maybe,
Guanine,pos,59.07294,,
Guanine,pos,58.06515,,
Guanine,pos,128.04554,,
Guanine,neg,133.01568,yes,
Guanine,neg,108.02043,yes,
Guanine,neg,66.00981,yes,
Guanine,neg,150.04235,yes,
Guanine,neg,107.03637,yes,
Guanine,neg,78.00984,yes,
Guanine,neg,82.04112,maybe,
Guanine,neg,90.0104,,
Guanine,neg,105.02088,maybe,
Guanine,neg,80.02555,yes,
Guanine,neg,126.03158,,
Guanine,neg,41.01457,,
Guanine,neg,90.00964,yes,
Guanine,neg,132.03151,,
Guanine,neg,76.9701,,
L-Methionine,pos,56.04944,yes,
L-Methionine,pos,61.01062,yes,
L-Methionine,pos,104.10699,,
L-Methionine,pos,104.0529,maybe,
L-Methionine,pos,184.06385,,
L-Methionine,pos,87.02631,yes,
L-Methionine,pos,44.97928,yes,
L-Methionine,pos,133.03204,maybe,
L-Methionine,pos,41.03861,,
L-Methionine,pos,74.02361,maybe,
L-Methionine,pos,74.05996,maybe,
L-Methionine,pos,102.05491,maybe,
L-Methionine,pos,84.04429,maybe,
L-Methionine,pos,44.97984,,
L-Methionine,neg,46.99612,yes,
L-Methionine,neg,92.0507,maybe,
L-Methionine,neg,148.1133,maybe,
L-Methionine,neg,146.0985,,
L-Methionine,neg,100.04036,,
L-Methionine,neg,146.09741,,
L-Methionine,neg,61.98836,,
L-Methionine,neg,149.00971,,
N6-Methyladenine,pos,150.07736,yes,
N6-Methyladenine,pos,94.0399,yes,
N6-Methyladenine,pos,123.06642,yes,
N6-Methyladenine,pos,151.08052,maybe,
N6-Methyladenine,pos,57.04467,yes,
N6-Methyladenine,pos,133.05083,yes,
N6-Methyladenine,pos,96.05559,yes,
N6-Methyladenine,pos,135.05386,yes,
N6-Methyladenine,pos,148.0618,yes,
N6-Methyladenine,pos,108.04301,maybe,
N6-Methyladenine,pos,121.05082,maybe,
N6-Methyladenine,pos,55.029,,
N6-Methyladenine,pos,45.04468,maybe,
N6-Methyladenine,pos,161.42294,maybe,
N6-Methyladenine,pos,109.05075,maybe,
N6-Methyladenine,pos,151.07551,,
N6-Methyladenine,pos,106.03989,maybe,
N6-Methyladenine,neg,148.06294,yes,
N6-Methyladenine,neg,133.03944,yes,
N6-Methyladenine,neg,92.02555,maybe,
N6-Methyladenine,neg,146.0474,maybe,
N6-Methyladenine,neg,132.0317,maybe,
N6-Methyladenine,neg,106.02855,,
N6-Methyladenine,neg,106.041,,
N6-Methyladenine,neg,92.02671,,
N6-Methyladenine,neg,117.02068,,
N6-Methyladenine,neg,79.01751,,
N6-Methyladenine,neg,149.06615,,
N6-Methyladenine,neg,65.01445,,
N6-Methyladenine,neg,149.06007,,
Xanthine,pos,110.03487,,
Xanthine,pos,153.05989,,
Xanthine,pos,136.01421,,
Xanthine,pos,136.03326,,
Xanthine,pos,43.01778,,
Xanthine,pos,111.03858,,
Xanthine,pos,55.02907,,
Xanthine,pos,111.03778,,
Xanthine,neg,108.02041,yes,
Xanthine,neg,151.02627,yes,
Xanthine,neg,41.99859,yes,
Xanthine,neg,80.02547,maybe,
Xanthine,neg,133.0159,maybe,
Xanthine,neg,136.01673,,
Dimethylsulfoxonium propionate,pos,79.02116,yes,
Dimethylsulfoxonium propionate,pos,63.99767,yes,
Dimethylsulfoxonium propionate,pos,61.0106,yes,
Dimethylsulfoxonium propionate,pos,46.99495,yes,
Dimethylsulfoxonium propionate,pos,73.02835,maybe,
Dimethylsulfoxonium propionate,pos,62.01846,yes,
Dimethylsulfoxonium propionate,pos,45.03344,maybe,
Dimethylsulfoxonium propionate,pos,151.04289,,
Dimethylsulfoxonium propionate,pos,44.97931,maybe,
Dimethylsulfoxonium propionate,pos,45.98707,maybe,
Dimethylsulfoxonium propionate,pos,62.98976,maybe,
