compound_name,best_adduct,polarity,rtmin,rtmax,mono_mass,mz,obs_mz,file_type
"Sulfoacetic acid, 13C2",[M-H]-,neg,14.47182897,15.07115973,141.984657,140.977381,140.9774118690795,IS
"Homarine, 2H3",[M+H]+,both,5.02370801,6.413417281,140.06651,141.07378599999998,141.0736929245301,IS
"L-Methionine, 2H3",[M+H]+,both,6.760565866,8.008672394,152.069882,153.077158,153.07715758601208,IS
"Guanine, 13C, 15N2",[M+H]+,both,8.152684686,8.992756387,154.04683500000002,155.054111,155.05408388400878,IS
"L-Histidine, 15N",[M+H]+,pos,17.3934734,23.73001423,156.066512,157.07378799999998,157.0737768310434,IS
"L-Cysteic acid, 2H3",[M-H]-,both,12.55350964,13.19157599,172.023327,171.016051,171.01611400618597,IS
"3-Sulfolactate, 13C3",[M]-,neg,14,14.5,171.99130058,171.99130058,171.99136946199079,IS
"Citrulline, 2H4",[M+H]+,both,11.80562441,12.53754553,179.1208,180.128076,180.12801510121642,IS
"Arsenobetaine, 13C2",[M+H]+,pos,6.832572012,7.768651908,180.004211,181.011487,181.01127585145258,IS
"L-Arginine, 13C6, 15N4",[M+H]+,both,18.13753691,19.69767007,184.119946,185.127222,185.1271994999845,IS
"Glucosamine, 13C6",[M+H]+,pos,9.989463272,10.87556195,185.09950400000002,186.10678000000001,186.10677646132913,IS
"Adenosine monophosphate, 15N5",[M-H]-,neg,11.19245995,12.24692992,352.048263,351.04098700000003,351.0409349352728,IS
"Sucrose, 13C12",[M-H]-,both,11.50537916,12.24062064,354.156475,353.149199,353.14910288204686,IS
"Trehalose, 13C12",[M-H]-,neg,12.40045575,13.05577969,354.156475,353.149199,353.14911481844223,IS
"Guanosine monophosphate, 15N5",[M-H]-,neg,13.78570508,14.86521302,368.043178,367.035902,367.03592645140196,IS
