compound_name,formula,polarity,best_adduct,rtmin,rtmax
O-Propionylcarnitine,C10H19NO4,both,[M+H]+,5.223976686,6.663973335
N-Acetyl-D-glucosamine,C8H15NO6,pos,[M+H]+,8.030006394,9.373674669
Carnosine,C9H14N4O3,both,[M+H]+,10.99749226,11.78873706
D-Ribose 5-phosphate,C5H11O8P,neg,[M-H]-,12.82120789,13.87439496
Ergothioneine,C9H15N3O2S,both,[M+H]+,10.99753904,11.65491821
Butyrylcarnitine,C11H21NO4,both,[M+H]+,3.735980148,5.559975904
Anserine,C10H16N4O3,both,[M+H]+,9.350085384,10.15875017
L-Cystine,C6H12N2O4S2,both,[M+H]+,12.43101768,13.89137769
Thymidine,C10H14N2O5,both,[M-H]-,2.533322847,3.994213284
Cytidine,C9H13N3O5,both,[M+H]+,7.959372856,8.911711562
Sulfoquinovose,C6H12O8S,neg,[M-H]-,12.4775366,13.52763158
Uridine,C9H12N2O6,neg,[M-H]-,5.45463109,6.774716842
Muramic acid,C9H17NO7,both,[M-H]-,9.938923497,10.66796009
Deoxyadenosine,C10H13N5O3,both,[M+H]+,3.088433232,4.696664638
2-O-alpha-D-Glucosylglycerol,C9H18O8,both,[M-H]-,9.867175218,10.45033716
Glycerophosphocholine,C8H20NO6P,both,[M+H]+,11.04930599,11.76887078
D-Fructose 6-phosphate,C6H13O9P,neg,[M-H]-,13.18796569,13.88576741
D-Glucose 1-phosphate,C6H13O9P,both,[M-H]-,13,13.9
D-Glucose 6-phosphate,C6H13O9P,both,[M-H]-,13.9,15
2-Heptyl-3-hydroxy-quinolone,C16H21NO2,both,[M+H]+,1.709022233,2.543666413
O-Methylmalonyl-L-carnitine,C11H19NO6,pos,[M+H]+,8.939992951,9.83370059
Adenosine,C10H13N5O4,both,[M+H]+,4.024132502,5.560187338
Deoxyguanosine,C10H13N5O4,both,[M+H]+,7.408253314,8.152279875
Inosine,C10H12N4O5,both,[M-H]-,7.439585079,8.247542112
L-Homocystine,C8H16N2O4S2,both,[M-H]-,11.95116579,13.51381343
Guanosine,C10H13N5O5,both,[M+H]+,8.944255162,9.938939661
Ophthalmic acid,C11H19N3O6,both,[M-H]-,10.31538301,11.20379732
L-Arginosuccinic acid,C10H18N4O6,both,[M+H]+,13.54514808,14.42064094
N-Acetylmuramic acid,C11H19NO8,both,[M+H]+,5.530370773,7.690302185
Glutamylphenylalanine,C14H18N2O5,both,[M+H]+,8.241522988,9.104845672
Glutathione,C10H17N3O6S,both,[M+H]+,11.55264292,12.4939319
"3',5'-Cyclic AMP",C10H12N5O6P,both,[M+H]+,5.356271812,7.091534822
Sucrose,C12H22O11,both,[M-H]-,11.48647198,12.30066328
Trehalose,C12H22O11,neg,[M-H]-,12.4922377,13.06696097
"3',5'-Cyclic GMP",C10H12N5O7P,both,[M+H]+,9.714027019,10.51436363
Thiamine monophosphate,C12H17N4O4PS,both,[M+H]+,10.73102194,12.37821867
Adenosine monophosphate,C10H14N5O7P,both,[M+H]+,10.95827321,12.00995615
"Cys-Gly, oxidized",C10H18N4O6S2,both,[M+H]+,10.99516226,12.28568085
Guanosine monophosphate,C10H14N5O8P,both,[M-H]-,13.62200309,14.53487864
S-Adenosylhomocysteine,C14H20N6O5S,both,[M+H]+,9.414680845,10.49361414
S-Adenosylmethionine,C15H22N6O5S,pos,[M+H]+,12.69707566,14.83493642
Thiamine diphosphate,C12H18N4O7P2S,both,[M+H]+,11.79629713,13.38895203
Chitobiose,C16H28N2O11,pos,[M+H]+,9.661378222,11.0172326
Adenosine diphosphate,C10H15N5O10P2,both,[M-H]-,12.66634997,14.08065183
Riboflavin-5-phosphate,C17H21N4O9P,both,[M-H]-,8.72681999,9.999807699
Adenosine triphosphate,C10H16N5O13P3,both,[M-H]-,13.97300847,15.9904386
Taurocholic acid,C26H45NO7S,both,[M-H]-,1.711123294,2.396592779
Guanosine triphosphate,C10H16N5O14P3,both,[M-H]-,15.99433544,17.99971001
UDP-glucose,C15H24N2O17P2,both,[M-H]-,13.56177851,14.33920593
UDP-N-acetylglucosamine,C17H27N3O17P2,both,[M-H]-,12.50629071,13.24284306
Glutathione disulfide,C20H32N6O12S2,both,[M-H]-,14.37227924,15.09518835
NAD,C21H27N7O14P2,both,[M+H]+,11.10168291,12.0053008
"3',5'-Cyclic diGMP",C20H24N10O14P2,both,[M-H]-,14.45663782,15.25262527
NADP,C21H29N7O17P3,neg,[M-H]-,14.19808639,15.27299225
Flavin adenine dinucleotide,C27H33N9O15P2,neg,[M-H]-,9.001848627,9.78983537
"Trimethylamine N-oxide, 2H9",C3H(2)9NO,pos,[M+H]+,6.442793404,7.510305835
"L-Alanine, 2H3",C3H4H(2)3NO2,both,[M-H]-,10.61397468,11.32336722
"Cytosine, 13C2, 15N3",C(13)2C2H5N(15)3O,both,[M+H]+,6.659303421,7.601901598
"Succinic acid, 2H4",C4H(2)4H2O4,neg,[M-H]-,12.4902462,13.03947429
"L-Proline, 2H7",C5H2H(2)7NO2,pos,[M+H]+,8.844355641,9.732373351
"Glycine betaine, 13C5, 15N",C(13)5H11N(15)O2,both,[M+H]+,6.974428088,8.039519161
"L-Valine, 2H8",C5H3H(2)8NO2,pos,[M+H]+,8.006890729,9.005697359
"Isethionic acid, 13C2",C(13)2H6O4S,neg,[M-H]-,6.578746277,7.597314402
"Taurine, 2H4",C2H(2)4H3NO3S,both,[M-H]-,9.778730144,10.61450461
"Thymine, 2H4",C5H(2)4H2N2O2,both,[M-H]-,2.762259297,3.924085253
"L-Isoleucine, 15N",C6H13N(15)O2,both,[M+H]+,6.75829994,7.750379255
